,timestamp,open,high,low,close,volume
GBP_USD,2025-01-01 22:00:00+00:00,1.25134,1.2515,1.25097,1.25125,1444.0
GBP_USD,2025-01-01 23:00:00+00:00,1.25125,1.25194,1.25059,1.25193,7970.28
GBP_USD,2025-01-02 00:00:00+00:00,1.2519,1.25203,1.25089,1.25161,4802.2
GBP_USD,2025-01-02 01:00:00+00:00,1.25162,1.2522,1.25114,1.25196,12426.18
GBP_USD,2025-01-02 02:00:00+00:00,1.25198,1.25331,1.25196,1.25331,2659.11
GBP_USD,2025-01-02 03:00:00+00:00,1.25332,1.25364,1.25299,1.25362,2340.66
GBP_USD,2025-01-02 04:00:00+00:00,1.25363,1.25402,1.25312,1.25342,2260.26
GBP_USD,2025-01-02 05:00:00+00:00,1.25341,1.25355,1.2529,1.2532,1275.24
GBP_USD,2025-01-02 06:00:00+00:00,1.2532,1.2533,1.25277,1.2529,1699.14
GBP_USD,2025-01-02 07:00:00+00:00,1.25287,1.25339,1.25201,1.25213,5636.28
GBP_USD,2025-01-02 08:00:00+00:00,1.25213,1.25236,1.24907,1.24977,8291.58
GBP_USD,2025-01-02 09:00:00+00:00,1.24978,1.25025,1.24797,1.2482,6088.15
GBP_USD,2025-01-02 10:00:00+00:00,1.2482,1.24916,1.24458,1.24462,9347.82
GBP_USD,2025-01-02 11:00:00+00:00,1.24462,1.2454,1.24348,1.24531,5938.53
GBP_USD,2025-01-02 12:00:00+00:00,1.24533,1.24568,1.2415,1.24196,6588.73
GBP_USD,2025-01-02 13:00:00+00:00,1.24198,1.24209,1.23981,1.2404,10537.83
GBP_USD,2025-01-02 14:00:00+00:00,1.2404,1.24111,1.23885,1.23982,9301.28
GBP_USD,2025-01-02 15:00:00+00:00,1.23981,1.23991,1.23699,1.23746,13510.61
GBP_USD,2025-01-02 16:00:00+00:00,1.23747,1.2379,1.23521,1.23742,14231.86
GBP_USD,2025-01-02 17:00:00+00:00,1.23742,1.23802,1.23612,1.23718,7503.76
GBP_USD,2025-01-02 18:00:00+00:00,1.23718,1.23759,1.23659,1.23688,4314.07
GBP_USD,2025-01-02 19:00:00+00:00,1.23692,1.2378,1.23634,1.23685,5552.91
GBP_USD,2025-01-02 20:00:00+00:00,1.23686,1.23848,1.23685,1.23779,4678.71
GBP_USD,2025-01-02 21:00:00+00:00,1.23779,1.23818,1.23768,1.23768,2035.08
